Token       void (  35,              )
Token     %ident (   4,         main )
Token          ( (   7,              )
Token          ) (   8,              )
Token          { (  37,              )
Token        int (  33,              )
Token     %ident (   4,            x )
Token          ; (  20,              )
Token        for (  42,              )
Token          ( (   7,              )
Token        int (  33,              )
Token     %ident (   4,            i )
Token          = (  23,              )
Token    %number (   5,            0 )
Token          ; (  20,              )
Token     %ident (   4,            i )
Token         <= (  22,              )
Token    %number (   5,           10 )
Token          ; (  20,              )
Token     %ident (   4,            i )
Token         ++ (  12,              )
Token          ) (   8,              )
Token          { (  37,              )
Token     %ident (   4,            x )
Token          = (  23,              )
Token    %number (   5,          333 )
Token          ; (  20,              )
Token     %ident (   4,            x )
Token         ++ (  12,              )
Token          ; (  20,              )
Token     %ident (   4,        write )
Token          ( (   7,              )
Token     %ident (   4,            x )
Token          ) (   8,              )
Token          ; (  20,              )
Token     %ident (   4,            x )
Token         %= (   3,              )
Token    %number (   5,           10 )
Token          ; (  20,              )
Token     %ident (   4,        write )
Token          ( (   7,              )
Token     %ident (   4,            x )
Token          ) (   8,              )
Token          ; (  20,              )
Token          } (  39,              )
Token          } (  39,              )
Token        eof (  29,              )
